P	R	F1	#gold	#system	#correct
0.156	0.156	0.156	4823	4823	750	OVERALL
1.000	0.000	0.000	99	0	0	!
1.000	0.000	0.000	52	0	0	#
1.000	0.000	0.000	86	0	0	$
1.000	0.000	0.000	91	0	0	&
1.000	0.000	0.000	500	0	0	,
1.000	0.000	0.000	243	0	0	@
1.000	0.000	0.000	239	0	0	A
1.000	0.000	0.000	330	0	0	D
1.000	0.000	0.000	52	0	0	E
1.000	0.000	0.000	65	0	0	G
1.000	0.000	0.000	65	0	0	L
1.000	0.000	0.000	660	0	0	N
0.000	0.000	0.000	316	4	0	O
1.000	0.000	0.000	439	0	0	P
1.000	0.000	0.000	209	0	0	R
1.000	0.000	0.000	5	0	0	S
1.000	0.000	0.000	36	0	0	T
1.000	0.000	0.000	91	0	0	U
0.156	0.999	0.270	751	4813	750	V
1.000	0.000	0.000	4	0	0	X
1.000	0.000	0.000	9	0	0	Z
1.000	0.000	0.000	311	0	0	^
0.000	0.000	0.000	170	6	0	~
